2022-03-19 11:38:48,579 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:48,923 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:48,938 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:49,282 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:49,282 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:49,986 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:49,986 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:50,580 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:50,595 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:51,145 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:51,145 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:51,731 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:51,737 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:52,320 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:52,331 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:52,915 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:52,925 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:53,512 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:53,519 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:54,103 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:41:52,637 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:41:53,043 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:41:53,043 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:41:53,387 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:41:53,403 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:41:53,731 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:41:53,746 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:42:29,689 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:42:31,065 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:42:31,471 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:42:31,487 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:42:31,831 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:42:31,831 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:42:32,175 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:42:32,191 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:02,832 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:04,177 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:04,583 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:04,583 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:04,927 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:04,927 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:05,272 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:05,287 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:05,631 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:05,631 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:06,006 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:06,006 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:06,351 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:06,366 | INFO | app.py:19 (connect) | connecting to the app
